gene_gencodeV33	FDR_TADA_ASD	FDR_TADA_DD	FDR_TADA_NDD	p_TADA_ASD	p_TADA_DD	p_TADA_NDD
MAPKAPK2	0.167355629	0.716813565	0.114707013	0.003495989	0.121136882	0.006202366
PCDH10	0.168077391	0.795681395	0.116448108	0.003521243	0.203186276	0.006333032
PRPF38B	0.168799212	0.684074746	0.107033104	0.003546586	0.101318852	0.00563972
SLC17A7	0.169520203	0.711533229	0.118179334	0.003571999	0.117581981	0.00646425
SMARCA4	0.170242787	0	0	0.003597533	0	0
POLE	0.170962322	0.85049954	0.119907023	0.003623089	0.336839064	0.00659636
HIC2	0.171680872	0.378935374	0.026467832	0.003648712	0.023785409	0.000951334
PTK2B	0.172395708	0.784451821	0.120940018	0.003674343	0.186730528	0.006675946
MACO1	0.173116933	0.764405339	0.121287406	0.003700197	0.162304922	0.00670273
PTPN11	0.173834408	0	0	0.003726058	0	0
TRIR	0.17455006	0.871580349	0.121635029	0.003751966	0.437981714	0.006729571
STK38L	0.17526515	0.691156623	0.116100952	0.00377795	0.10520435	0.006306869
SNX13	0.175978194	0.798545113	0.122331845	0.003803975	0.207773245	0.00678347
KIF2A	0.176689236	0.00165677	5.75E-05	0.003830044	3.20E-05	1.06E-06
NSD2	0.177397835	3.11E-12	1.56E-13	0.003856145	2.46E-14	1.36E-15
CD44	0.178103076	0.854066703	0.123029136	0.003882259	0.350829317	0.006837571
RNF145	0.178805616	0.573943554	0.069073566	0.0039084	0.058888467	0.003145637
TRIM23	0.179505322	0.674277672	0.107380517	0.003934563	0.096245862	0.005664761
SRCAP	0.180204865	0	0	0.003960807	0	0
EIF4G3	0.180903753	0.710483486	0.124422431	0.003987122	0.116893936	0.006946225
DNAAF3	0.181599337	0.885799212	0.124770769	0.004013449	0.543711332	0.006973498
MED24	0.182294573	0.481247889	0.046566141	0.004039852	0.038427384	0.001904487
SF3B2	0.182989405	0.008702621	0.000324585	0.00406633	0.000195917	6.86E-06
NKX6-1	0.183685111	0.887013118	0.127554626	0.004092912	0.554949405	0.007193099
PRDM15	0.184377432	0.821547901	0.127900845	0.004119502	0.252037488	0.007220646
ELAVL1	0.185066307	0.750207461	0.128246417	0.004146099	0.147970646	0.0072482
AKAP9	0.185751828	0.693375963	0.121983612	0.004172704	0.106462836	0.006756508
AMIGO1	0.186436632	0.224079459	0.011138286	0.004199376	0.010102638	0.000343751
SMARCD1	0.187120172	0.585996367	0.075517722	0.004226103	0.062317923	0.003533848
RELN	0.187801035	0.731558375	0.128939841	0.004252851	0.131973594	0.007303567
AKT2	0.188483211	0.812136398	0.129980189	0.004279712	0.232141513	0.007386956
TNRC6A	0.189173323	0.249768643	0.013652504	0.004306836	0.011893976	0.000435047
SZT2	0.189859993	0.808949661	0.132061405	0.004333965	0.226006443	0.007554938
ELAVL2	0.1905521	0.736277572	0.133451783	0.004361302	0.135757843	0.007667962
KCNA7	0.191241623	0.867215415	0.134145254	0.004388663	0.412810726	0.007724638
FAM83F	0.191931122	0.904680224	0.135183043	0.004416107	0.786648639	0.007809837
ATF7	0.192617382	0.694074903	0.130326121	0.00444356	0.106863389	0.00741479
JADE1	0.193300414	0.614843357	0.091095847	0.004471021	0.071508611	0.004531395
WDR26	0.193981354	0	0	0.004498517	0	0
ARHGEF2	0.194659012	0.723369657	0.136217093	0.004526019	0.125781187	0.00789521
CECR2	0.195333392	0.72708364	0.136560961	0.004553526	0.128533368	0.007923707
CLTC	0.196006071	0	0	0.004581075	0	0
CDAN1	0.196677256	0.855139907	0.137248244	0.004608671	0.355244274	0.007980804
CRY2	0.197348623	0.84395452	0.137592985	0.004636352	0.313617537	0.008009481
TFAP2B	0.198026187	0.110557676	0.004063343	0.004664261	0.00384347	0.00011011
RALA	0.198703451	0.004275362	0.000170794	0.004692244	8.95E-05	3.42E-06
ACHE	0.199386252	0.743835801	0.141727928	0.004720441	0.142179598	0.008356866
SLC4A8	0.200065675	0.76736447	0.142072234	0.00474864	0.165573137	0.008386079
MIB1	0.200743392	3.23E-07	1.84E-08	0.004776881	3.73E-09	2.29E-10
TMEM245	0.201421764	0.844536905	0.143106628	0.004805219	0.315566999	0.008474067
SIGLEC11	0.202103863	0.90716297	0.144829153	0.004833729	0.83452512	0.00862149
HMBOX1	0.202783545	0.584480954	0.08438703	0.004862264	0.061874556	0.004091809
RERE	0.203466862	0.712660117	0.147567661	0.004890968	0.118327363	0.008858563
KSR2	0.204148195	0.716145409	0.14790907	0.004919707	0.120678185	0.008888336
WDR81	0.204826887	0.836131493	0.148590247	0.004948464	0.289363942	0.008947911
SNAP91	0.205503206	0.605883462	0.095807306	0.004977247	0.068491869	0.004849895
KCND2	0.206176879	0.639462086	0.108768426	0.005006047	0.080662788	0.00576527
CSNK1A1	0.206847883	0.747417928	0.148930862	0.005034864	0.145390476	0.008977765
SCAND1	0.207517977	0.904949147	0.149950156	0.00506374	0.79157963	0.009067427
NPR1	0.208190431	0.395759576	0.039208073	0.005092754	0.025796889	0.001537148
ZBTB45	0.208860315	0.89436114	0.150969636	0.005121787	0.633443899	0.009157485
TRPC6	0.209527296	0.852838985	0.151309187	0.00515083	0.345898326	0.009187573
PI4KA	0.210192265	0.822301581	0.152324595	0.005179904	0.253757601	0.009277894
RNF19A	0.21085858	0.824871212	0.15333671	0.005209092	0.259777997	0.009368396
MAP3K10	0.211523619	0.545703107	0.074210305	0.005238329	0.051643376	0.003454047
TUBA1A	0.212187863	0.785701556	0.155356479	0.005267627	0.188450641	0.009550268
XKR6	0.212853402	0.537775733	0.07323042	0.005297037	0.049789608	0.003394658
CPE	0.213527377	0.768127572	0.157046656	0.005326739	0.166433193	0.009703425
ZFYVE26	0.214199498	0.845865707	0.157723097	0.005356475	0.32009663	0.009765007
DAB2IP	0.214868514	0.656848683	0.126860571	0.005386215	0.088009682	0.007138044
GDF1	0.215534437	0.880458833	0.158060652	0.005415959	0.498931055	0.009795821
LZTS3	0.216205098	0.752563647	0.160758185	0.005445902	0.150206793	0.010043673
PTPRE	0.216872937	0.512391139	0.070976147	0.005475856	0.044315938	0.003258995
EIF4A2	0.217543806	0.137392061	0.007277455	0.005505967	0.005108042	0.000211815
TCF12	0.218212145	0.000365672	1.36E-05	0.005536095	6.40E-06	2.30E-07
CLIC6	0.218884246	0.892529529	0.161437629	0.0055664	0.611999822	0.010106376
EHD1	0.219553978	0.772285787	0.161777373	0.005596725	0.17124951	0.010137792
PPP1R13B	0.220220751	0.768228837	0.162116527	0.005627057	0.166547867	0.010169215
NAGS	0.220886885	0.89488249	0.162456067	0.005657452	0.639808317	0.010200704
CACNA1I	0.22155137	0.742063052	0.163809146	0.005687886	0.140631497	0.010326766
CYP4F3	0.222213691	0.903505517	0.164146351	0.005718345	0.765777933	0.01035832
LNX2	0.222873167	0.857675054	0.164482999	0.00574881	0.366080987	0.010389882
ADCY1	0.223531811	0.678757035	0.148249938	0.005779334	0.098523894	0.008918119
RAB30	0.224187901	0.802580262	0.164820157	0.005809872	0.214539023	0.010421518
GCH1	0.224841059	0.807222388	0.165492524	0.005840412	0.222795566	0.010484793
MACF1	0.2255	0.705276605	0.168836071	0.005871183	0.113568384	0.010802531
LRFN4	0.226157848	0.434878798	0.051175339	0.005902004	0.031024004	0.002144358
ZBTB4	0.226815532	0.577125386	0.099184831	0.005932901	0.05977225	0.005083086
TMED7-TICAM2	0.227470943	0.697910531	0.168169898	0.005963819	0.109096711	0.01073881
GRIA4	0.228125931	0.468606539	0.061268632	0.005994804	0.03625839	0.002694116
PSMA3	0.228779331	0.41013806	0.047687175	0.006025827	0.027625262	0.001962301
PPIG	0.229430252	0.569489381	0.094456948	0.006056863	0.057675282	0.004757837
SPTBN1	0.230081441	7.26E-05	3.51E-06	0.006087986	1.13E-06	5.55E-08
KMT2E	0.230735395	6.61E-11	2.66E-12	0.00611926	5.70E-13	2.49E-14
FST	0.231391418	0.77574806	0.173495914	0.006150669	0.175435118	0.011253041
ROCK2	0.232045056	0.541310785	0.085062908	0.006182094	0.050606959	0.004135253
SPEG	0.232696888	0.777040525	0.17383022	0.006213549	0.177040557	0.011285629
ZNF598	0.233346704	0.807844107	0.17416428	0.00624503	0.223942308	0.011318242
KDM4A	0.23399907	0.723605403	0.175832934	0.006276658	0.125953198	0.011481829
ATRN	0.234658848	0.739922131	0.1781627	0.006308564	0.138796709	0.011712192
LRP2	0.235319163	0.673250834	0.158737871	0.006340564	0.095733586	0.009857706
PPP3CA	0.235976544	0.000847609	5.46E-05	0.006372565	1.57E-05	1.00E-06
GAK	0.236632326	0.094968054	0.004705497	0.006404603	0.003163944	0.000129578
RBM5	0.237287478	0.716896816	0.1794981	0.006436702	0.121194219	0.011845018
MGAT5B	0.237941985	0.684181417	0.170498037	0.006468864	0.101375944	0.010962343
SRP54	0.238593799	0.016038816	0.000861717	0.006501031	0.000387208	1.99E-05
PSD	0.239242773	0.790789559	0.179832177	0.0065332	0.195732453	0.011878344
EMSY	0.239890594	0.722024435	0.180499584	0.006565416	0.124806456	0.011945073
EYA2	0.240537331	0.823880236	0.180833261	0.006597681	0.257427176	0.011978498
POU2F2	0.241185781	0.632711615	0.13587258	0.006630071	0.078016474	0.007866719
DGKD	0.241834066	0.799279313	0.182499163	0.006662534	0.208977324	0.012146087
SAP30BP	0.242480078	0.86907263	0.183164818	0.006695014	0.423188741	0.012213368
UBR4	0.243125618	0.70727806	0.184161456	0.006727559	0.1148298	0.01231448
PDCD6	0.243773314	0.882833863	0.185156398	0.006760242	0.517966973	0.012415853
IWS1	0.244419015	0.65338112	0.154684893	0.006792948	0.086480333	0.009489578
SIX2	0.245062702	0.791292655	0.185488509	0.006825676	0.196477835	0.012449758
PIM1	0.245704553	0.813262405	0.185820411	0.00685843	0.23437766	0.012483691
RPL15	0.246346779	0.768984747	0.186484098	0.006891273	0.167407924	0.012551674
GNAI1	0.246989701	7.67E-15	4.33E-16	0.006924213	5.27E-17	3.23E-18
GALR3	0.24762987	0.909613904	0.187479329	0.006957154	0.887561941	0.01265394
RCCD1	0.248269013	0.906711396	0.187811132	0.006990143	0.825408521	0.012688117
RUFY3	0.248906033	0.641003092	0.145515295	0.00702315	0.081282737	0.008680591
GPR85	0.249542226	0.832037576	0.188474336	0.00705621	0.277953859	0.012756566
NPAS3	0.250180815	0.617735136	0.133104215	0.007089416	0.072516035	0.007639642
ZDHHC24	0.250816743	0.904177695	0.189802631	0.007122623	0.777589377	0.012894093
VCL	0.251454014	0.80687812	0.190135225	0.007155946	0.222164857	0.012928615
TBX21	0.252090121	0.751964811	0.190799765	0.007189312	0.149633422	0.012997738
SLC2A14	0.25272451	0.846147285	0.191131616	0.007222706	0.321071361	0.013032334
RORA	0.253356413	0.000942077	7.02E-05	0.007256106	1.75E-05	1.31E-06
LRRC37B	0.253985997	0.824919154	0.191463094	0.007289516	0.259892671	0.013066946
TTC13	0.254615669	0.832925943	0.19245719	0.007323005	0.280362017	0.013171008
FOXP2	0.25524518	8.94E-08	1.05E-08	0.007356565	9.88E-10	1.27E-10
CDKN2AIP	0.25587273	0.09753647	0.005870518	0.007390145	0.00327306	0.000166078
WDFY3	0.256499353	0.243145182	0.02407763	0.007423774	0.011417142	0.000848809
SEC24D	0.257126505	0.843261073	0.193781698	0.007457495	0.311324053	0.013310274
GCK	0.257752215	0.818574473	0.194113528	0.007491249	0.245443721	0.013345243
NOL4L	0.258379858	0.737460281	0.19576976	0.007525136	0.136732574	0.013520509
PAX8	0.259005874	0.464460514	0.073556339	0.007559051	0.03557317	0.003414381
CABLES1	0.259630917	0.646086758	0.160422737	0.007593013	0.083370169	0.010012652
OSBP	0.260253652	0.635905037	0.154011466	0.007626983	0.079254597	0.009428943
LHFPL3	0.260875445	0.795352435	0.197748871	0.007661001	0.202670242	0.013731619
SOX5	0.261495793	0	0	0.007695052	0	0
AK4	0.262113811	0.868639001	0.198406266	0.00772911	0.420723246	0.01380216
ECE1	0.262734318	0.786973279	0.200045251	0.007763315	0.190228091	0.013978918
UBE2R2	0.26335308	0.762862706	0.200372841	0.007797544	0.160642146	0.014014379
MIA3	0.263969676	0.796226562	0.200700003	0.007831784	0.204046333	0.01404985
RNF220	0.26458431	0.561149636	0.110516634	0.00786604	0.055475947	0.005892596
ALPK3	0.265199584	0.536106222	0.103580869	0.00790039	0.049408541	0.005392843
PPP1CA	0.265813351	0.769485204	0.20135524	0.007934769	0.167981295	0.014120981
SIN3B	0.266425533	0.739854516	0.2016831	0.007969175	0.138739372	0.014156625
ARID5B	0.267036873	0.193171216	0.017223818	0.00800363	0.008149514	0.000570458
TRIM3	0.267646351	0.578305441	0.122680825	0.008038104	0.060103888	0.006810517
FOXO1	0.268256239	0.730086892	0.202667984	0.008072663	0.130826852	0.014263895
PRKD2	0.268864184	0.736835776	0.202995985	0.008107237	0.13621654	0.014299713
TNFRSF11A	0.269470407	0.063684137	0.003631658	0.008141834	0.001925667	9.73E-05
PSMC5	0.270074317	3.34E-06	2.36E-07	0.008176433	4.33E-08	3.30E-09
GNPTAB	0.270676614	0.871843187	0.203651213	0.008211057	0.439587153	0.014371419
MTMR3	0.271276523	0.763823206	0.203978193	0.008245681	0.161674214	0.014407289
PDXDC1	0.271874219	0.874430322	0.20430467	0.00828031	0.455985564	0.014443164
PDE10A	0.272470384	0.183868445	0.016294399	0.008314965	0.007601686	0.000534565
RAB11FIP2	0.273066576	0.460245323	0.077473154	0.008349693	0.034889212	0.00365451
COP1	0.27366214	0.376770885	0.052070225	0.008384474	0.023535847	0.002191655
TEK	0.2742568	0.655701049	0.174832543	0.0084193	0.08749974	0.011383603
FAM189B	0.274849546	0.864839961	0.207231107	0.008454138	0.400196563	0.014767038
USP48	0.275442397	0.418599432	0.066235665	0.008489051	0.028751006	0.002979005
CCAR2	0.276034149	0.609588042	0.145857501	0.008524003	0.069720067	0.008710154
GCN1	0.276624221	0.744160776	0.208849776	0.008558974	0.142466284	0.014947886
FURIN	0.27721328	0.655316733	0.177163867	0.008593985	0.087329801	0.011613191
CLIP2	0.277800069	0.740057229	0.209173231	0.008628997	0.138911384	0.014984158
MCF2L	0.278386502	0.651946984	0.17516607	0.008664069	0.085857684	0.011416308
UBE3A	0.278974023	2.00E-10	1.37E-11	0.008699246	1.80E-12	1.33E-13
ZNF335	0.279559957	0.829955503	0.210143816	0.008734444	0.272449497	0.015093231
ZNF638	0.28014601	0.728068655	0.211759762	0.008769717	0.12927875	0.01527571
GARNL3	0.280729945	0.390396911	0.058183046	0.008804995	0.025141022	0.002521939
MAGEL2	0.281312038	0	0	0.008840285	0	0
TRIM71	0.281892141	0.672677375	0.189471181	0.008875583	0.095449046	0.012859692
ITGAL	0.282470233	0.810784218	0.212725162	0.008910888	0.229504007	0.015385382
KIRREL3	0.283046154	0.785949242	0.213046112	0.008946195	0.188794663	0.015421959
HOXC6	0.28362055	0.845398587	0.213366812	0.008981523	0.318491191	0.015458558
GGT7	0.284194418	0.781068042	0.21432744	0.009016904	0.182200896	0.015568489
CELF6	0.28476681	0.851460607	0.215284427	0.009052307	0.340508639	0.015678516
HDAC7	0.285337625	0.690749378	0.204630682	0.009087729	0.104975601	0.014479047
TRAF7	0.285906352	0	0	0.009123154	0	0
FAM169A	0.286473332	0.754572877	0.215920595	0.009158592	0.152156254	0.015751935
KATNB1	0.28703899	0.846820161	0.216871577	0.009194056	0.323422182	0.015862123
CERT1	0.287606326	3.59E-05	1.50E-06	0.009229643	5.33E-07	2.27E-08
KDM3A	0.288173477	0.748977211	0.217823419	0.009265292	0.146823904	0.015972732
ACSF2	0.288739832	0.852824525	0.218141069	0.009300985	0.345840989	0.016009709
NDST1	0.289304946	0.685771958	0.203323656	0.009336706	0.102232462	0.01433555
STMN2	0.28986953	0.40022608	0.064366749	0.009372478	0.026353741	0.002870723
JTB	0.290433458	0.853213457	0.219727406	0.009408297	0.347389091	0.016195047
SF3B3	0.290995394	0.031162313	0.002123418	0.00944412	0.00082755	5.37E-05
PCGF3	0.291555458	0.386198593	0.060343592	0.00947995	0.024637567	0.002642085
RNF39	0.292115805	0.89718314	0.220361119	0.009515857	0.669394263	0.016269401
MEF2D	0.292674205	0.758302402	0.22067753	0.009551769	0.155883166	0.016306604
DMWD	0.293230567	0.622920318	0.163471676	0.009587681	0.074365401	0.010295237
MBD6	0.293785775	0.744290479	0.220993833	0.009623624	0.142580958	0.016343839
USP39	0.294339288	0.837427238	0.221309762	0.009659577	0.293148191	0.016381087
CRHR1	0.294891909	0.860349853	0.221940781	0.009695569	0.378179115	0.016455638
INSIG2	0.295442959	0.866888745	0.222884288	0.009731575	0.411033276	0.016567536
EPB41L1	0.295992172	0.792745179	0.223197846	0.009767588	0.198656645	0.016604845
SUPT6H	0.29653942	0.184537227	0.018187284	0.009803602	0.007640473	0.000608072
THRB	0.297085083	0.476698306	0.09042538	0.00983963	0.037632537	0.004486699
GATA4	0.297628908	0.53825046	0.116794572	0.009875663	0.049898532	0.0063592
RAB2A	0.298173128	0.38746472	0.062814126	0.009911775	0.024788496	0.002781776
KMT2B	0.29871697	4.90E-10	4.92E-11	0.009947941	4.53E-12	5.00E-13
NMT1	0.299261146	0.766954859	0.226628883	0.009984183	0.16511444	0.017016472
IGSF9B	0.299804457	0.78778335	0.227869467	0.010020462	0.191374833	0.017166797
KLC2	0.300348289	0.785079056	0.228488907	0.010056825	0.187590584	0.017242128
RALB	0.300890699	0.88797644	0.228798171	0.010093206	0.564180678	0.017279818
CBX4	0.301431678	0.773486883	0.229107163	0.010129604	0.172682937	0.017317526
TAF5L	0.301971985	0.738766736	0.229724216	0.010166045	0.137821979	0.017392987
SNED1	0.302511363	0.789930861	0.230340553	0.010202521	0.194471037	0.017468549
TMTC2	0.303049032	0.825657586	0.230648148	0.010239004	0.261670122	0.017506344
SHE	0.303589131	0.772768182	0.231878116	0.010275634	0.171822881	0.017657881
DOP1B	0.304127498	0.848991024	0.232491905	0.010312271	0.331220028	0.017733789
CPEB4	0.304666247	0.613053823	0.165827864	0.010348986	0.070893473	0.010516441
ATP6V0A1	0.305204865	4.04E-10	4.29E-11	0.010385762	3.71E-12	4.33E-13
ASIC4	0.305742189	0.847355444	0.234326329	0.010422559	0.325314306	0.017961906
ARF4	0.30627762	0.396983419	0.068437699	0.010459356	0.025948542	0.003108094
H2AW	0.306811278	0.899350553	0.2346317	0.010496158	0.69972559	0.018000032
PXN	0.307343202	0.578697234	0.145172479	0.010532965	0.060214462	0.008651034
RASA1	0.307873885	0.715641774	0.234936936	0.010569794	0.120334162	0.018038185
PI4K2A	0.308403335	0.807751194	0.235241969	0.010606644	0.223770296	0.018076362
KIF5C	0.308931697	2.13E-06	1.82E-07	0.010643521	2.70E-08	2.51E-09
DHX37	0.309459467	0.77542192	0.236156181	0.010680442	0.175033759	0.018191052
STK11	0.309986804	0.399822624	0.070659219	0.010717412	0.026303044	0.00324001
ABCA1	0.310513694	0.467655932	0.094118424	0.01075443	0.036100161	0.004734882
WDR47	0.311040128	0.80583528	0.237677211	0.010791496	0.220272733	0.018382761
ZFAND3	0.311564929	0.802846063	0.237980776	0.010828569	0.21499772	0.018421168
ETV6	0.312088826	0.78599045	0.238587032	0.010865674	0.188852	0.018498028
B4GALNT1	0.312612767	0.581802934	0.15164817	0.010902844	0.06109945	0.009217668
TRPV4	0.313134998	0.890312458	0.239193356	0.010940018	0.587803565	0.018575045
GLS	0.313655987	0.616776224	0.173161709	0.010977211	0.072180116	0.011220503
SRGAP1	0.314181531	0.767772253	0.24131184	0.011014627	0.166031833	0.018845519
NPHS1	0.314706828	0.364867262	0.05972585	0.011052099	0.022197679	0.002607544
ZNF131	0.315230511	0.725551042	0.242219644	0.011089577	0.127386626	0.018961997
GHSR	0.315752972	0.556417306	0.1389677	0.011127075	0.054269289	0.008124374
CTTNBP2NL	0.316275322	0.856525123	0.243125128	0.011164633	0.361092659	0.019078634
KBTBD11	0.316798576	0.88716466	0.244629079	0.011202286	0.556382832	0.019273378
IL1RAP	0.317320448	0.818891161	0.244929369	0.011239954	0.246131767	0.019312401
AGBL2	0.317840796	0.878486088	0.245229302	0.01127763	0.484080745	0.019351433
METTL16	0.318360511	0.808858189	0.245828387	0.011315347	0.225834432	0.019429548
HERC5	0.318879298	0.85932898	0.246127816	0.011353094	0.373477473	0.019468653
PIWIL2	0.319396395	0.846279266	0.246426803	0.011390844	0.321530057	0.019507761
NDN	0.319912642	0.845197108	0.247023949	0.011428626	0.317803146	0.019586023
CDS2	0.320427303	0.875821175	0.247322015	0.011466413	0.465274175	0.01962517
MICAL2	0.320940745	0.856672096	0.248213711	0.011504219	0.361723367	0.019742636
TDRD9	0.321453788	0.852095964	0.2491026	0.011542074	0.342974134	0.019860215
ZNF362	0.321965524	0.601234115	0.171493954	0.011579943	0.066986526	0.011058649
ZNF827	0.322476121	0.661110921	0.209819365	0.011617833	0.089937412	0.015056767
SOX9	0.322987777	0.00693912	0.000604458	0.011655823	0.000152447	1.35E-05
DENND4A	0.323498278	0.772092093	0.250288031	0.011693833	0.171020161	0.020017526
LSM11	0.324012236	0.576532512	0.159413495	0.011732031	0.059606457	0.009919662
PPME1	0.324525903	0.738971552	0.252362704	0.01177028	0.13799399	0.020294265
JAK1	0.325038659	0.746660848	0.252954123	0.011808558	0.144702431	0.02037356
MAP1A	0.325549812	0.738287283	0.253249289	0.01184684	0.137420619	0.020413219
PDIK1L	0.326060266	0.851042434	0.254133062	0.011885158	0.3389032	0.020532279
PLEKHM3	0.326569569	0.840906931	0.254427117	0.011923496	0.303755555	0.020571996
DNAH2	0.3270772	0.659744829	0.216554981	0.011961835	0.089313562	0.015825383
USP33	0.327584306	0.789616306	0.25530756	0.012000216	0.19401234	0.02069123
DHRS4	0.328092085	0.901498884	0.255601443	0.012038683	0.732465076	0.020731081
TRIM8	0.328598638	0.005756208	0.0005367	0.012077166	0.000124027	1.19E-05
CFLAR	0.329104044	0.460572006	0.102558073	0.012115669	0.034941775	0.005320292
MAP2K6	0.32960795	0.797376807	0.2558954	0.012154177	0.20588112	0.020770975
MEMO1	0.330111464	0.551796387	0.146200241	0.012192732	0.053119219	0.008739792
LSM12	0.330613724	0.374157383	0.070342467	0.012231302	0.023237095	0.003221073
SSH1	0.331114465	0.83431573	0.256776357	0.012269876	0.284203603	0.020890803
TERF2	0.331613739	0.768279427	0.257069418	0.012308456	0.166605204	0.020930771
NFIC	0.332111571	0.837485435	0.257654301	0.012347043	0.293320203	0.021010717
RAB14	0.332608242	1.10E-08	1.16E-09	0.012385648	1.12E-10	1.29E-11
DGKE	0.333104875	0.859705156	0.258238866	0.01242431	0.375197586	0.021090784
KATNAL2	0.333601097	0.87136312	0.258531296	0.012463018	0.436662961	0.021130884
EEF1A1	0.334095834	0.776857062	0.258823333	0.01250173	0.176811209	0.021170989
SSU72	0.334589415	0.482447787	0.109816486	0.012540459	0.038639668	0.005841488
ING4	0.335085233	0.8633251	0.260281812	0.012579332	0.392513391	0.021371923
PUM1	0.33558043	0.384076498	0.075190908	0.012618241	0.024386283	0.003513838
EHBP1	0.336074064	0.794505354	0.260573673	0.012657151	0.201351489	0.021412233
POLE3	0.336566428	0.900629715	0.260865239	0.012696074	0.718876183	0.021452555
TPM3	0.337057602	0.857688107	0.261156545	0.012735011	0.366138324	0.021492893
TMEM231	0.337547367	0.897924548	0.261447486	0.012773954	0.679485593	0.021533237
SORCS3	0.338036062	0.823169771	0.262028473	0.012812916	0.2557644	0.021613961
UNC80	0.338523851	0.782627014	0.26260824	0.012851902	0.184265032	0.02169473
PGAP3	0.339010997	0.456954056	0.10426485	0.012890923	0.034363922	0.005441534
SLC16A1	0.339496915	0.871805746	0.263476094	0.012929957	0.439357805	0.021816008
SLTM	0.339983743	0.552018802	0.1543484	0.012969084	0.053173947	0.009459253
NUP155	0.34046944	0.787217148	0.265778031	0.013008227	0.190572114	0.022139983
TPO	0.340953622	0.630648796	0.20102719	0.01304737	0.07722924	0.014085365
SEPTIN2	0.341437561	0.829178013	0.266637285	0.013086563	0.270442698	0.022261738
ADAP1	0.341920066	0.65480286	0.224759873	0.013125759	0.087103238	0.016791545
ARHGAP33	0.342401846	0.80907144	0.267208978	0.013164987	0.226235792	0.022342992
BMP7	0.342883074	0.841432987	0.26777982	0.013204251	0.305418331	0.022424318
SFPQ	0.343364335	0.644863534	0.21464697	0.013243574	0.08286204	0.015605164
UBE2K	0.343844735	0.539903824	0.14927084	0.013282923	0.050279908	0.009007622
